Date;GOOG.NASDAQ_AAPL - Close;GOOG.NASDAQ_GOOGL - Close;GOOG.NASDAQ_MSFT - Close;GOOG.NASDAQ_FB - Close;GOOG.NYSE_ORCL - Close
1998-11-17;1.24;;27.97;;33.08
1998-11-18;1.27;;27.44;;33.58
1998-11-19;1.28;;27.94;;33.77
1998-11-20;1.26;;28.41;;34.83
1998-11-23;1.29;;29.8;;36.89
1998-11-24;1.28;;30.42;;35.02
1998-11-25;1.25;;31.06;;34.64
1998-11-27;1.25;;32.02;;35.89
1998-11-30;1.14;;30.5;;34.27
1998-12-01;1.22;;32.38;;36.96
1998-12-02;1.29;;31.69;;36.33
1998-12-03;1.2;;30.53;;35.02
1998-12-04;1.17;;31.84;;36.58
1998-12-07;1.21;;33.39;;36.64
1998-12-08;1.15;;32.8;;35.33
1998-12-09;1.14;;33.41;;36.64
1998-12-10;1.14;;32.89;;34.96
1998-12-11;1.21;;33.5;;37.27
1998-12-14;1.16;;31.98;;37.14
1998-12-15;1.2;;32.97;;39.58
1998-12-16;1.17;;33.44;;38.64
1998-12-17;1.19;;33.59;;39.21
1998-12-18;1.26;;34.45;;39.33
1998-12-21;1.25;;35.11;;39.08
1998-12-22;1.36;;34.61;;39.96
1998-12-23;1.42;;35.89;;41.71
1998-12-24;1.4;;35.44;;41.21
1998-12-28;1.46;;35.59;;43.9
1998-12-29;1.46;;35.12;;44.52
1998-12-30;1.43;;34.75;;43.77
1998-12-31;1.46;;34.67;;43.15
1999-01-04;1.47;;35.25;;43.02
1999-01-05;1.55;;36.62;;44.33
1999-01-06;1.49;;37.81;;46.4
1999-01-07;1.61;;37.62;;45.65
1999-01-08;1.61;;37.47;;46.27
1999-01-11;1.64;;36.88;;47.21
1999-01-12;1.65;;35.55;;45.96
1999-01-13;1.66;;35.95;;45.77
1999-01-14;1.48;;35.44;;44.65
1999-01-15;1.48;;37.44;;47.15
1999-01-19;1.46;;38.91;;51.71
1999-01-20;1.45;;40.66;;50.9
1999-01-21;1.39;;39.58;;48.71
1999-01-22;1.38;;39.06;;49.9
1999-01-25;1.41;;40.47;;51.09
1999-01-26;1.45;;42.89;;52.9
1999-01-27;1.43;;42.16;;51.03
1999-01-28;1.46;;43.5;;53.71
1999-01-29;1.47;;43.75;;55.4
1999-02-01;1.46;;43.23;;59.15
1999-02-02;1.4;;41.91;;58.84
1999-02-03;1.44;;41.7;;60.78
1999-02-04;1.35;;39.77;;58.34
1999-02-05;1.3;;40.0;;56.22
1999-02-08;1.35;;41.31;;57.4
1999-02-09;1.33;;40.02;;54.65
1999-02-10;1.37;;40.16;;53.71
1999-02-11;1.42;;40.69;;59.59
1999-02-12;1.35;;39.44;;56.72
1999-02-16;1.37;;39.06;;53.46
1999-02-17;1.32;;37.5;;51.28
1999-02-18;1.29;;36.44;;50.84
1999-02-19;1.33;;36.94;;54.21
1999-02-22;1.37;;37.2;;54.59
1999-02-23;1.37;;38.86;;58.53
1999-02-24;1.34;;38.22;;55.72
1999-02-25;1.32;;38.38;;58.03
1999-02-26;1.24;;37.53;;55.9
1999-03-01;1.21;;37.94;;36.63
1999-03-02;1.24;;37.14;;35.31
1999-03-03;1.22;;37.41;;35.0
1999-03-04;1.19;;38.06;;36.38
1999-03-05;1.19;;38.73;;37.44
1999-03-08;1.23;;39.75;;38.31
1999-03-09;1.22;;40.45;;38.75
1999-03-10;1.16;;40.34;;37.94
1999-03-11;1.15;;40.36;;36.88
1999-03-12;1.19;;40.05;;28.56
1999-03-15;1.22;;41.47;;30.0
1999-03-16;1.27;;42.27;;29.81
1999-03-17;1.22;;41.78;;29.06
1999-03-18;1.27;;43.11;;29.69
1999-03-19;1.2;;42.8;;27.56
1999-03-22;1.25;;43.2;;27.19
1999-03-23;1.18;;41.64;;26.06
1999-03-24;1.2;;42.81;;25.94
1999-03-25;1.21;;44.98;;26.69
1999-03-26;1.19;;44.53;;27.5
1999-03-29;1.26;;46.19;;28.5
1999-03-30;1.28;;46.5;;26.88
1999-03-31;1.28;;44.81;;26.38
1999-04-01;1.29;;46.34;;25.81
1999-04-05;1.32;;47.47;;25.31
1999-04-06;1.36;;47.03;;23.69
1999-04-07;1.33;;46.66;;21.44
1999-04-08;1.32;;47.28;;23.31
1999-04-09;1.31;;47.12;;25.88
1999-04-12;1.29;;46.5;;25.0
1999-04-13;1.24;;45.06;;23.63
1999-04-14;1.27;;42.94;;24.13
1999-04-15;1.28;;44.44;;24.88
1999-04-16;1.27;;43.12;;24.5
1999-04-19;1.21;;40.5;;23.38
1999-04-20;1.22;;41.56;;23.25
1999-04-21;1.23;;41.0;;24.13
1999-04-22;1.3;;42.47;;25.81
1999-04-23;1.4;;43.0;;27.34
1999-04-26;1.46;;44.0;;28.69
1999-04-27;1.63;;42.0;;28.06
1999-04-28;1.57;;41.06;;27.31
1999-04-29;1.54;;41.03;;27.25
1999-04-30;1.64;;40.66;;27.06
1999-05-03;1.77;;39.94;;26.06
1999-05-04;1.66;;39.03;;25.19
1999-05-05;1.68;;39.56;;25.0
1999-05-06;1.59;;38.97;;24.19
1999-05-07;1.64;;39.53;;24.5
1999-05-10;1.62;;39.84;;24.38
1999-05-11;1.6;;39.94;;24.81
1999-05-12;1.66;;40.25;;25.31
1999-05-13;1.65;;39.56;;23.0
1999-05-14;1.58;;38.44;;23.88
1999-05-17;1.58;;39.56;;24.5
1999-05-18;1.62;;39.34;;24.81
1999-05-19;1.61;;39.66;;26.38
1999-05-20;1.52;;39.22;;25.31
1999-05-21;1.57;;38.78;;25.75
1999-05-24;1.5;;38.62;;24.75
1999-05-25;1.48;;38.12;;24.0
1999-05-26;1.57;;39.25;;23.44
1999-05-27;1.55;;39.19;;23.56
1999-05-28;1.57;;40.34;;24.81
1999-06-01;1.6;;39.25;;25.5
1999-06-02;1.66;;39.22;;26.19
1999-06-03;1.69;;38.19;;27.5
1999-06-04;1.72;;39.78;;28.69
1999-06-07;1.75;;40.12;;28.5
1999-06-08;1.7;;39.69;;27.13
1999-06-09;1.73;;41.16;;26.69
1999-06-10;1.72;;39.94;;26.06
1999-06-11;1.66;;39.06;;25.31
1999-06-14;1.62;;38.78;;26.44
1999-06-15;1.65;;38.84;;25.13
1999-06-16;1.71;;40.5;;32.94
1999-06-17;1.66;;41.44;;34.88
1999-06-18;1.68;;42.5;;35.06
